First Name,Last Name,Constituency,Political Affiliation,Honorific Title,Province,Gender,Row,Column,PID,CID
Alexandra,Mendès,Brossard—Saint-Lambert,Liberal,,Quebec,F,09,05,58621,4
Marco,Mendicino,Eglinton—Lawrence,Liberal,,Ontario,M,11,22,88738,4
MaryAnn,Mihychuk,Kildonan—St. Paul,Liberal,Hon.,Manitoba,F,07,14,89037,4
Larry,Miller,Bruce—Grey—Owen Sound,Conservative,,Ontario,M,02,15,25522,8781
Marc,Miller,Ville-Marie—Le Sud-Ouest—Île-des-Soeurs,Liberal,,Quebec,M,11,23,88660,4
Maryam,Monsef,Peterborough—Kawartha,Liberal,Hon.,Ontario,F,08,18,88922,4
Christine,Moore,Abitibi—Témiscamingue,NDP,,Quebec,F,03,47,232,3
Bill,Morneau,Toronto Centre,Liberal,Hon.,Ontario,M,07,23,88992,4
Robert,Morrissey,Egmont,Liberal,,Prince Edward Island,M,11,24,88308,4
Thomas,Mulcair,Outremont,NDP,Hon.,Quebec,M,04,35,26684,3
Joyce,Murray,Vancouver Quadra,Liberal,,British Columbia,F,08,30,35950,4
Pierre,Nantel,Longueuil—Saint-Hubert,NDP,,Quebec,M,02,36,71447,3
Eva,Nassif,Vimy,Liberal,,Quebec,F,11,26,58806,4
John,Nater,Perth—Wellington,Conservative,,Ontario,M,00,14,88917,8781
Robert,Nault,Kenora,Liberal,Hon.,Ontario,M,07,45,709,4
Rob,Nicholson,Niagara Falls,Conservative,Hon.,Ontario,M,04,05,820,8781
Alexander,Nuttall,Barrie—Springwater—Oro-Medonte,Conservative,,Ontario,M,00,15,88679,8781
Deepak,Obhrai,Calgary Forest Lawn,Conservative,Hon.,Alberta,M,00,29,1287,8781
Jennifer,O'Connell,Pickering—Uxbridge,Liberal,,Ontario,F,11,27,88925,4
Robert,Oliphant,Don Valley West,Liberal,,Ontario,M,09,06,58858,4
John,Oliver,Oakville,Liberal,,Ontario,M,11,28,88881,4
Seamus,O'Regan,St. John's South—Mount Pearl,Liberal,,Newfoundland and Labrador,M,11,29,88299,4
Erin,O'Toole,Durham,Conservative,Hon.,Ontario,M,00,12,72773,8781
Robert-Falcon,Ouellette,Winnipeg Centre,Liberal,,Manitoba,M,11,30,89466,4
Denis,Paradis,Brome—Missisquoi,Liberal,Hon.,Quebec,M,07,41,198,4
Pierre,Paul-Hus,Charlesbourg—Haute-Saint-Charles,Conservative,,Quebec,M,03,12,71454,8781
Monique,Pauzé,Repentigny,Bloc Québécois,,Quebec,F,00,35,88595,6
Joe,Peschisolido,Steveston—Richmond East,Liberal,,British Columbia,M,09,41,1825,4
Kyle,Peterson,Newmarket—Aurora,Liberal,,Ontario,M,11,32,71702,4
Ginette,Petitpas Taylor,Moncton—Riverview—Dieppe,Liberal,Hon.,New Brunswick,F,10,21,88364,4
Jane,Philpott,Markham—Stouffville,Liberal,Hon.,Ontario,F,07,09,88835,4
Michel,Picard,Montarville,Liberal,,Quebec,M,08,11,71529,4
Louis,Plamondon,Bécancour—Nicolet—Saurel,Bloc Québécois,,Quebec,M,00,32,413,6
Pierre,Poilievre,Carleton,Conservative,Hon.,Ontario,M,04,30,25524,8781
Jean-Claude,Poissant,La Prairie,Liberal,,Quebec,M,07,39,88493,4
Anne Minh-Thu,Quach,Salaberry—Suroît,NDP,,Quebec,F,02,41,71350,3
Carla,Qualtrough,Delta,Liberal,Hon.,British Columbia,F,07,06,89272,4
Lisa,Raitt,Milton,Conservative,Hon.,Ontario,F,00,28,54325,8781
Tracey,Ramsey,Essex,NDP,,Ontario,F,01,42,88745,3
Murray,Rankin,Victoria,NDP,,British Columbia,M,04,36,60078,3
Yasmin,Ratansi,Don Valley East,Liberal,,Ontario,F,08,42,25449,4
Alain,Rayes,Richmond—Arthabaska,Conservative,,Quebec,M,03,29,88600,8781
Geoff,Regan,Halifax West,Liberal,Hon.,Nova Scotia,M,06,00,1760,4
Scott,Reid,Lanark—Frontenac—Kingston,Conservative,,Ontario,M,03,17,1827,8781
Michelle,Rempel,Calgary Nose Hill,Conservative,Hon.,Alberta,F,04,27,71902,8781
Blake,Richards,Banff—Airdrie,Conservative,,Alberta,M,02,27,59235,8781
Jean,Rioux,Saint-Jean,Liberal,,Quebec,M,11,33,88623,4
Gerry,Ritz,Battlefords—Lloydminster,Conservative,Hon.,Saskatchewan,M,04,08,1209,8781
Yves,Robillard,Marc-Aurèle-Fortin,Liberal,,Quebec,M,11,34,88617,4
Pablo,Rodriguez,Honoré-Mercier,Liberal,,Quebec,M,09,21,25451,4
Sherry,Romanado,Longueuil—Charles-LeMoyne,Liberal,,Quebec,F,11,35,88521,4
Anthony,Rota,Nipissing—Timiskaming,Liberal,,Ontario,M,09,03,25452,4
Kim,Rudd,Northumberland—Peterborough South,Liberal,,Ontario,F,09,17,71718,4
Dan,Ruimy,Pitt Meadows—Maple Ridge,Liberal,,British Columbia,M,11,36,89304,4
Don,Rusnak,Thunder Bay—Rainy River,Liberal,,Ontario,M,11,38,88982,4
Romeo,Saganash,Abitibi—Baie-James—Nunavik—Eeyou,NDP,,Quebec,M,02,39,71482,3
Ruby,Sahota,Brampton North,Liberal,,Ontario,F,11,39,88698,4
Raj,Saini,Kitchener Centre,Liberal,,Ontario,M,11,40,88807,4
Harjit S.,Sajjan,Vancouver South,Liberal,Hon.,British Columbia,M,07,08,89497,4
Darrell,Samson,Sackville—Preston—Chezzetcook,Liberal,,Nova Scotia,M,11,41,88333,4
Ramesh,Sangha,Brampton Centre,Liberal,,Ontario,M,11,42,88692,4
Brigitte,Sansoucy,Saint-Hyacinthe—Bagot,NDP,,Quebec,F,02,44,53569,3
Randeep,Sarai,Surrey Centre,Liberal,,British Columbia,M,11,44,89339,4
Bob,Saroya,Markham—Unionville,Conservative,,Ontario,M,00,17,58878,8781
Francis,Scarpaleggia,Lac-Saint-Louis,Liberal,,Quebec,M,09,02,25453,4
Andrew,Scheer,Regina—Qu'Appelle,Conservative,,Saskatchewan,M,00,08,25454,8781
Peter,Schiefke,Vaudreuil—Soulanges,Liberal,,Quebec,M,09,35,88649,4
Jamie,Schmale,Haliburton—Kawartha Lakes—Brock,Conservative,,Ontario,M,00,18,88770,8781
Deborah,Schulte,King—Vaughan,Liberal,,Ontario,F,11,45,88799,4
Marc,Serré,Nickel Belt,Liberal,,Ontario,M,03,00,88874,4
Judy A.,Sgro,Humber River—Black Creek,Liberal,Hon.,Ontario,F,07,44,1787,4
Brenda,Shanahan,Châteauguay—Lacolle,Liberal,,Quebec,F,03,02,88442,4
Terry,Sheehan,Sault Ste. Marie,Liberal,,Ontario,M,03,03,88944,4
Martin,Shields,Bow River,Conservative,,Alberta,M,00,20,89109,8781
Bev,Shipley,Lambton—Kent—Middlesex,Conservative,,Ontario,M,02,12,31664,8781
Jati,Sidhu,Mission—Matsqui—Fraser Canyon,Liberal,,British Columbia,M,02,00,89288,4
Sonia,Sidhu,Brampton South,Liberal,,Ontario,F,02,02,88703,4
Gagan,Sikand,Mississauga—Streetsville,Liberal,,Ontario,M,02,03,88858,4
Scott,Simms,Coast of Bays—Central—Notre Dame,Liberal,,Newfoundland and Labrador,M,08,41,25456,4
Amarjeet,Sohi,Edmonton Mill Woods,Liberal,Hon.,Alberta,M,08,21,89163,4
Robert,Sopuck,Dauphin—Swan River—Neepawa,Conservative,,Manitoba,M,02,30,69488,8781
Francesco,Sorbara,Vaughan—Woodbridge,Liberal,,Ontario,M,01,02,88999,4
Kevin,Sorenson,Battle River—Crowfoot,Conservative,Hon.,Alberta,M,03,32,1832,8781
Sven,Spengemann,Mississauga—Lakeshore,Liberal,,Ontario,M,08,47,88852,4
